fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
1085,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,13.0,1.0,100.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,30.0,15.0,10.0,8.0,5.0,7.0,5.0,,,,8.0,,8.0,23.0,18.0,31.0,17.0,21.0,32.0,,,,21.0,,16.0,,,,,,,,,,,,,,,
1086,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,34.0,7.0,127.0,7.0,3.0,1.0,0.0,1.0,24.0,0.0,29.0,,10.0,14.0,6.0,6.0,7.0,8.0,,13.0,5.0,,7.0,,9.0,18.0,7.0,20.0,18.0,31.0,,26.0,16.0,,24.0,,,,,,,,,,,,,,,
1088,2025-03-31_Proof-of-concept-Olga2/,3-24H,2.0,66.0,14.0,290.0,4.0,6.0,1.0,2.0,2.0,40.0,3.0,24.0,18.0,10.0,7.0,6.0,10.0,14.0,13.0,13.0,7.0,4.0,8.0,4.0,16.0,9.0,16.0,8.0,14.0,14.0,26.0,23.0,24.0,14.0,20.0,13.0,,,,,,,,,,,,,,,
1089,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,5.0,5.0,78.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,24.0,11.0,7.0,6.0,8.0,,,,5.0,5.0,,12.0,15.0,21.0,12.0,13.0,23.0,,,,19.0,14.0,,11.0,,,,,,,,,,,,,,,
1090,2025-03-31_Proof-of-concept-Olga2/,3-24H,116.0,194.0,79.0,644.0,27.0,65.0,113.0,3.0,4.0,80.0,82.0,39.0,10.0,10.0,6.0,6.0,6.0,5.0,4.0,11.0,8.0,4.0,4.0,4.0,4.0,3.0,11.0,2.0,9.0,9.0,11.0,11.0,20.0,11.0,9.0,12.0,,,,,,,,,,,,,,,
1091,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,24.0,4.0,94.0,4.0,4.0,1.0,0.0,0.0,19.0,0.0,1.0,,10.0,9.0,6.0,9.0,6.0,9.0,,,5.0,,6.0,,13.0,21.0,14.0,20.0,18.0,30.0,,,21.0,,33.0,,,,,,,,,,,,,,,
1092,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,25.0,2.0,71.0,12.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,,10.0,6.0,6.0,6.0,8.0,14.0,7.0,,5.0,7.0,5.0,,17.0,31.0,21.0,22.0,31.0,25.0,32.0,,26.0,32.0,31.0,,,,,,,,,,,,,,,
1093,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,9.0,3.0,51.0,2.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0,15.0,10.0,7.0,6.0,6.0,7.0,,,,5.0,,,24.0,18.0,28.0,15.0,33.0,24.0,,,,20.0,,,,,,,,,,,,,,,,,
1094,2025-03-31_Proof-of-concept-Olga2/,3-24H,0.0,0.0,1.0,5.0,0.0,4.0,2.0,1.0,0.0,2.0,3.0,0.0,,,24.0,5.0,,5.0,12.0,9.0,,4.0,4.0,,,,15.0,30.0,,28.0,26.0,30.0,,32.0,32.0,,,,,,,,,,,,,,,,
1096,2025-03-31_Proof-of-concept-Olga2/,3-24H,1.0,5.0,0.0,41.0,3.0,3.0,1.0,1.0,1.0,7.0,3.0,2.0,12.0,10.0,,6.0,5.0,5.0,4.0,6.0,4.0,6.0,7.0,4.0,27.0,21.0,,19.0,29.0,31.0,35.0,33.0,35.0,20.0,20.0,35.0,,,,,,,,,,,,,,,
