fish,exp_path,condition,Gene_TNF,Gene_CORO1A,Gene_IL2RA,Gene_ACTB,Gene_CD69,Gene_IRF8,Gene_GZMB,Gene_CCR7,Gene_IFNG,Gene_GBP4,Gene_TNF_2,Gene_XP01,delta_z_l_TNF,delta_z_l_CORO1A,delta_z_l_IL2RA,delta_z_l_ACTB,delta_z_l_CD69,delta_z_l_IRF8,delta_z_l_GZMB,delta_z_l_CCR7,delta_z_l_IFNG,delta_z_l_GBP4,delta_z_l_TNF_2,delta_z_l_XP01,delta_z_r_TNF,delta_z_r_CORO1A,delta_z_r_IL2RA,delta_z_r_ACTB,delta_z_r_CD69,delta_z_r_IRF8,delta_z_r_GZMB,delta_z_r_CCR7,delta_z_r_IFNG,delta_z_r_GBP4,delta_z_r_TNF_2,delta_z_r_XP01,Gene_CD8,delta_z_l_CD8,delta_z_r_CD8,Gene_CORO1A_2,delta_z_l_CORO1A_2,delta_z_r_CORO1A_2,Gene_SDch0,Gene_SDch1,Gene_GZMB_2,delta_z_l_SDch0,delta_z_l_SDch1,delta_z_l_GZMB_2,delta_z_r_SDch0,delta_z_r_SDch1,delta_z_r_GZMB_2
3005,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,23.0,2.0,72.0,6.0,1.0,0.0,1.0,1.0,5.0,1.0,8.0,6.0,5.0,16.0,14.0,12.0,15.0,,14.0,19.0,14.0,19.0,12.0,16.0,11.0,8.0,0.0,2.0,15.0,,16.0,11.0,4.0,11.0,9.0,,,,,,,,,,,,,,,
3006,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,18.0,1.0,46.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,17.0,4.0,27.0,13.0,13.0,,,,,20.0,,12.0,8.0,6.0,3.0,0.0,0.0,,,,,4.0,,1.0,,,,,,,,,,,,,,,
3007,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,12.0,0.0,58.0,7.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,4.0,4.0,,13.0,12.0,,21.0,,,15.0,,12.0,14.0,12.0,,0.0,7.0,,9.0,,,14.0,,11.0,,,,,,,,,,,,,,,
3008,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,22.0,3.0,100.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,6.0,3.0,4.0,17.0,13.0,14.0,,14.0,,18.0,16.0,,11.0,12.0,8.0,5.0,0.0,10.0,,8.0,,12.0,11.0,,9.0,,,,,,,,,,,,,,,
3009,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,8.0,2.0,68.0,1.0,2.0,0.0,1.0,0.0,5.0,0.0,2.0,5.0,5.0,14.0,13.0,13.0,12.0,,13.0,,13.0,,12.0,16.0,17.0,7.0,2.0,17.0,16.0,,17.0,,10.0,,18.0,,,,,,,,,,,,,,,
3010,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,18.0,0.0,72.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,9.0,4.0,,13.0,14.0,12.0,17.0,11.0,,12.0,,11.0,17.0,13.0,,3.0,11.0,8.0,7.0,19.0,,13.0,,9.0,,,,,,,,,,,,,,,
3011,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,27.0,1.0,95.0,6.0,0.0,2.0,0.0,3.0,4.0,1.0,5.0,9.0,4.0,13.0,13.0,12.0,,11.0,,11.0,20.0,10.0,12.0,22.0,12.0,17.0,0.0,2.0,,9.0,,11.0,5.0,20.0,11.0,,,,,,,,,,,,,,,
3012,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,22.0,1.0,43.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,4.0,22.0,13.0,17.0,14.0,,,,17.0,,13.0,17.0,14.0,8.0,4.0,7.0,16.0,,,,10.0,,15.0,,,,,,,,,,,,,,,
3013,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,30.0,1.0,81.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,11.0,4.0,12.0,13.0,25.0,18.0,24.0,,,17.0,,11.0,10.0,4.0,18.0,0.0,3.0,6.0,6.0,,,4.0,,0.0,,,,,,,,,,,,,,,
3014,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,16.0,1.0,67.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,7.0,3.0,19.0,13.0,15.0,19.0,,,20.0,14.0,,16.0,19.0,12.0,11.0,3.0,6.0,2.0,,,10.0,4.0,,11.0,,,,,,,,,,,,,,,
3015,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,16.0,1.0,65.0,7.0,2.0,1.0,0.0,0.0,7.0,0.0,1.0,5.0,4.0,25.0,13.0,12.0,18.0,18.0,,,13.0,,17.0,19.0,15.0,5.0,0.0,8.0,7.0,12.0,,,5.0,,13.0,,,,,,,,,,,,,,,
3016,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,21.0,3.0,76.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,6.0,8.0,4.0,15.0,13.0,,,20.0,,,13.0,,12.0,18.0,13.0,8.0,2.0,,,10.0,,,8.0,,9.0,,,,,,,,,,,,,,,
3019,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,24.0,1.0,94.0,10.0,1.0,2.0,0.0,2.0,4.0,0.0,3.0,11.0,4.0,13.0,13.0,12.0,18.0,20.0,,25.0,13.0,,12.0,13.0,14.0,17.0,0.0,0.0,12.0,5.0,,1.0,10.0,,16.0,,,,,,,,,,,,,,,
3020,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,28.0,0.0,87.0,6.0,2.0,1.0,1.0,0.0,5.0,0.0,4.0,6.0,4.0,,13.0,12.0,16.0,16.0,17.0,,14.0,,12.0,16.0,12.0,,3.0,9.0,12.0,14.0,13.0,,7.0,,8.0,,,,,,,,,,,,,,,
3021,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,15.0,2.0,60.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,6.0,5.0,15.0,13.0,12.0,21.0,15.0,,,15.0,,20.0,18.0,15.0,9.0,1.0,14.0,9.0,7.0,,,4.0,,10.0,,,,,,,,,,,,,,,
3022,2025-03-04_Proof-of-concept-Olga/,1-NA,7.0,25.0,3.0,92.0,4.0,1.0,1.0,1.0,0.0,9.0,0.0,7.0,6.0,4.0,15.0,13.0,15.0,23.0,17.0,23.0,,13.0,,12.0,21.0,15.0,11.0,3.0,8.0,7.0,13.0,7.0,,8.0,,8.0,,,,,,,,,,,,,,,
3023,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,15.0,1.0,100.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,12.0,4.0,15.0,13.0,16.0,17.0,18.0,,,12.0,,12.0,16.0,15.0,15.0,0.0,10.0,13.0,12.0,,,18.0,,7.0,,,,,,,,,,,,,,,
3024,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,20.0,1.0,98.0,3.0,0.0,6.0,0.0,1.0,2.0,1.0,3.0,7.0,4.0,30.0,13.0,22.0,,14.0,,30.0,16.0,30.0,13.0,7.0,8.0,0.0,0.0,0.0,,0.0,,0.0,12.0,0.0,5.0,,,,,,,,,,,,,,,
3027,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,11.0,2.0,47.0,2.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,9.0,4.0,20.0,13.0,15.0,,14.0,15.0,,19.0,,12.0,16.0,12.0,1.0,2.0,2.0,,16.0,15.0,,8.0,,15.0,,,,,,,,,,,,,,,
3028,2025-03-04_Proof-of-concept-Olga/,1-NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,25.0,3.0,73.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,10.0,4.0,15.0,14.0,15.0,22.0,25.0,,,19.0,,13.0,13.0,5.0,7.0,0.0,0.0,8.0,5.0,,,0.0,,11.0,,,,,,,,,,,,,,,
4004,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,15.0,0.0,47.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,,13.0,13.0,21.0,,,,19.0,,,18.0,16.0,,2.0,4.0,9.0,,,,11.0,,,,,,,,,,,,,,,,,
4005,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,17.0,0.0,50.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,18.0,4.0,,13.0,15.0,17.0,,,,17.0,,14.0,13.0,1.0,,6.0,0.0,13.0,,,,7.0,,16.0,,,,,,,,,,,,,,,
4006,2025-03-04_Proof-of-concept-Olga/,1-NA,0.0,22.0,2.0,99.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,1.0,,4.0,19.0,13.0,,24.0,17.0,,16.0,13.0,,11.0,,8.0,9.0,0.0,,6.0,13.0,,14.0,1.0,,19.0,,,,,,,,,,,,,,,
4007,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,14.0,1.0,69.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,4.0,27.0,14.0,26.0,,,,,16.0,,13.0,16.0,14.0,3.0,0.0,2.0,,,,,4.0,,7.0,,,,,,,,,,,,,,,
4008,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,9.0,1.0,46.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,3.0,16.0,13.0,12.0,,,,,16.0,,11.0,23.0,20.0,14.0,3.0,6.0,,,,,12.0,,12.0,,,,,,,,,,,,,,,
4009,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,17.0,0.0,62.0,14.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,12.0,3.0,,13.0,13.0,16.0,15.0,,24.0,13.0,,11.0,19.0,12.0,,3.0,3.0,14.0,15.0,,6.0,12.0,,7.0,,,,,,,,,,,,,,,
4011,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,29.0,2.0,110.0,27.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,8.0,3.0,18.0,13.0,13.0,20.0,,,,16.0,,14.0,16.0,16.0,10.0,3.0,5.0,10.0,,,,9.0,,8.0,,,,,,,,,,,,,,,
4012,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,15.0,1.0,43.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,13.0,8.0,25.0,14.0,26.0,18.0,,,,23.0,,14.0,13.0,9.0,5.0,0.0,0.0,12.0,,,,7.0,,5.0,,,,,,,,,,,,,,,
4014,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,21.0,0.0,67.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0,4.0,,14.0,18.0,13.0,,,,21.0,,18.0,17.0,12.0,,1.0,3.0,17.0,,,,9.0,,12.0,,,,,,,,,,,,,,,
4015,2025-03-04_Proof-of-concept-Olga/,1-NA,9.0,22.0,1.0,59.0,2.0,2.0,1.0,1.0,0.0,5.0,0.0,8.0,3.0,3.0,20.0,13.0,12.0,25.0,12.0,24.0,,14.0,,12.0,18.0,15.0,10.0,1.0,12.0,3.0,18.0,6.0,,10.0,,6.0,,,,,,,,,,,,,,,
4016,2025-03-04_Proof-of-concept-Olga/,1-NA,9.0,18.0,2.0,80.0,0.0,1.0,1.0,1.0,1.0,4.0,0.0,5.0,3.0,4.0,17.0,13.0,,17.0,20.0,16.0,26.0,16.0,,12.0,20.0,16.0,10.0,3.0,,13.0,10.0,14.0,4.0,8.0,,7.0,,,,,,,,,,,,,,,
4017,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,23.0,1.0,93.0,5.0,1.0,2.0,2.0,1.0,4.0,1.0,7.0,3.0,4.0,14.0,13.0,12.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,10.0,7.0,16.0,0.0,0.0,16.0,12.0,16.0,17.0,4.0,18.0,5.0,,,,,,,,,,,,,,,
4018,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,39.0,14.0,138.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,10.0,3.0,4.0,13.0,14.0,13.0,28.0,,,,16.0,11.0,12.0,16.0,13.0,7.0,0.0,9.0,2.0,,,,12.0,19.0,2.0,,,,,,,,,,,,,,,
4019,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,15.0,2.0,54.0,7.0,3.0,1.0,1.0,1.0,5.0,1.0,2.0,3.0,4.0,18.0,13.0,16.0,12.0,20.0,18.0,11.0,14.0,11.0,17.0,22.0,16.0,4.0,1.0,2.0,6.0,10.0,12.0,19.0,11.0,19.0,6.0,,,,,,,,,,,,,,,
4020,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,22.0,2.0,107.0,6.0,2.0,1.0,1.0,0.0,2.0,0.0,6.0,8.0,3.0,15.0,13.0,13.0,14.0,14.0,14.0,,12.0,,13.0,19.0,13.0,12.0,1.0,5.0,12.0,16.0,16.0,,9.0,,10.0,,,,,,,,,,,,,,,
4021,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,13.0,0.0,74.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,7.0,4.0,,13.0,18.0,,19.0,,,15.0,,14.0,20.0,14.0,,1.0,5.0,,11.0,,,13.0,,3.0,,,,,,,,,,,,,,,
4023,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,18.0,0.0,50.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0,4.0,,14.0,13.0,,16.0,,,15.0,,,19.0,3.0,,0.0,2.0,,14.0,,,15.0,,,,,,,,,,,,,,,,,
4024,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,15.0,1.0,58.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,11.0,4.0,20.0,13.0,13.0,,,,,19.0,,14.0,16.0,13.0,10.0,0.0,6.0,,,,,9.0,,14.0,,,,,,,,,,,,,,,
5001,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,18.0,2.0,57.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,15.0,4.0,16.0,13.0,14.0,,,,,17.0,25.0,12.0,12.0,16.0,1.0,2.0,14.0,,,,,7.0,5.0,17.0,,,,,,,,,,,,,,,
5002,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,15.0,2.0,52.0,9.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,7.0,4.0,25.0,13.0,14.0,15.0,25.0,16.0,,24.0,,12.0,12.0,10.0,4.0,1.0,0.0,14.0,5.0,14.0,,0.0,,2.0,,,,,,,,,,,,,,,
5003,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,26.0,2.0,116.0,8.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,3.0,17.0,13.0,12.0,17.0,,,14.0,,19.0,14.0,15.0,9.0,13.0,0.0,4.0,6.0,,,7.0,,11.0,2.0,,,,,,,,,,,,,,,
5004,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,24.0,0.0,106.0,6.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,8.0,4.0,,13.0,12.0,,16.0,,,13.0,,13.0,15.0,14.0,,0.0,9.0,,14.0,,,9.0,,3.0,,,,,,,,,,,,,,,
5005,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,33.0,3.0,122.0,9.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,4.0,3.0,16.0,13.0,11.0,20.0,11.0,19.0,,15.0,,17.0,14.0,12.0,9.0,0.0,3.0,1.0,19.0,11.0,,6.0,,12.0,,,,,,,,,,,,,,,
5006,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,11.0,1.0,56.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,3.0,15.0,13.0,17.0,19.0,,,,17.0,,13.0,22.0,15.0,15.0,3.0,12.0,11.0,,,,13.0,,4.0,,,,,,,,,,,,,,,
5007,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,14.0,1.0,61.0,10.0,0.0,1.0,0.0,0.0,5.0,0.0,4.0,4.0,4.0,15.0,13.0,13.0,,20.0,,,14.0,,11.0,13.0,16.0,15.0,0.0,3.0,,10.0,,,11.0,,13.0,,,,,,,,,,,,,,,
5008,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,9.0,0.0,37.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,,12.0,12.0,,26.0,,,,,,1.0,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,,,,,,,,,
5009,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,12.0,0.0,53.0,3.0,3.0,1.0,1.0,0.0,6.0,0.0,11.0,6.0,3.0,,13.0,11.0,19.0,15.0,26.0,,13.0,,11.0,15.0,14.0,,3.0,13.0,4.0,15.0,4.0,,8.0,,4.0,,,,,,,,,,,,,,,
5010,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,20.0,2.0,92.0,24.0,1.0,1.0,1.0,3.0,3.0,0.0,6.0,7.0,4.0,17.0,13.0,12.0,17.0,20.0,16.0,11.0,16.0,,11.0,17.0,15.0,12.0,2.0,6.0,13.0,10.0,14.0,8.0,11.0,,7.0,,,,,,,,,,,,,,,
5011,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,14.0,2.0,66.0,3.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,12.0,3.0,19.0,12.0,14.0,,18.0,,22.0,11.0,,15.0,19.0,12.0,10.0,3.0,6.0,,12.0,,8.0,7.0,,8.0,,,,,,,,,,,,,,,
5012,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,18.0,1.0,57.0,5.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,13.0,12.0,12.0,19.0,22.0,,,13.0,,17.0,28.0,4.0,17.0,0.0,9.0,11.0,8.0,,,3.0,,13.0,,,,,,,,,,,,,,,
5013,2025-03-04_Proof-of-concept-Olga/,1-NA,11.0,20.0,3.0,99.0,1.0,1.0,2.0,0.0,2.0,3.0,0.0,4.0,3.0,3.0,17.0,12.0,13.0,18.0,20.0,,13.0,22.0,,13.0,11.0,7.0,4.0,0.0,17.0,12.0,5.0,,8.0,7.0,,3.0,,,,,,,,,,,,,,,
5014,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,30.0,4.0,102.0,12.0,1.0,2.0,1.0,1.0,6.0,0.0,3.0,5.0,3.0,14.0,12.0,14.0,14.0,18.0,13.0,13.0,13.0,,13.0,15.0,6.0,5.0,0.0,0.0,16.0,3.0,17.0,17.0,4.0,,16.0,,,,,,,,,,,,,,,
5015,2025-03-04_Proof-of-concept-Olga/,1-NA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,3.0,,,,,,,,,,28.0,,28.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,
5016,2025-03-04_Proof-of-concept-Olga/,1-NA,11.0,28.0,5.0,96.0,20.0,2.0,3.0,1.0,0.0,3.0,0.0,5.0,3.0,3.0,16.0,13.0,11.0,16.0,17.0,15.0,,12.0,,12.0,19.0,15.0,4.0,2.0,3.0,11.0,10.0,15.0,,13.0,,10.0,,,,,,,,,,,,,,,
5018,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,11.0,0.0,54.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,5.0,6.0,,14.0,17.0,,,,,13.0,,14.0,16.0,10.0,,0.0,3.0,,,,,5.0,,7.0,,,,,,,,,,,,,,,
5019,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,16.0,2.0,56.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,7.0,4.0,4.0,15.0,13.0,,14.0,19.0,14.0,,14.0,,11.0,15.0,7.0,8.0,0.0,,16.0,11.0,16.0,,2.0,,4.0,,,,,,,,,,,,,,,
5020,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,11.0,0.0,83.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,8.0,4.0,,13.0,12.0,,,,,19.0,,13.0,18.0,17.0,,0.0,5.0,,,,,6.0,,2.0,,,,,,,,,,,,,,,
5021,2025-03-04_Proof-of-concept-Olga/,1-NA,11.0,14.0,2.0,55.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,5.0,7.0,4.0,16.0,13.0,,24.0,18.0,24.0,,13.0,,12.0,16.0,14.0,5.0,3.0,,6.0,12.0,6.0,,6.0,,7.0,,,,,,,,,,,,,,,
5023,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,13.0,2.0,63.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,5.0,4.0,19.0,13.0,14.0,,,,,12.0,,14.0,17.0,11.0,6.0,2.0,15.0,,,,,9.0,,13.0,,,,,,,,,,,,,,,
5024,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,19.0,1.0,49.0,37.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,9.0,5.0,17.0,13.0,12.0,23.0,16.0,,,16.0,11.0,11.0,16.0,8.0,13.0,0.0,0.0,7.0,8.0,,,13.0,19.0,4.0,,,,,,,,,,,,,,,
5025,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,22.0,1.0,78.0,3.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,7.0,4.0,18.0,13.0,22.0,22.0,,,,13.0,15.0,12.0,20.0,6.0,12.0,0.0,5.0,8.0,,,,10.0,15.0,13.0,,,,,,,,,,,,,,,
5026,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,18.0,0.0,70.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,4.0,,13.0,12.0,,,,,12.0,,,16.0,7.0,,0.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,
5027,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,15.0,3.0,63.0,3.0,0.0,2.0,0.0,1.0,6.0,1.0,2.0,7.0,4.0,24.0,13.0,14.0,,17.0,,24.0,13.0,14.0,12.0,21.0,10.0,5.0,0.0,0.0,,9.0,,6.0,3.0,16.0,18.0,,,,,,,,,,,,,,,
5031,2025-03-04_Proof-of-concept-Olga/,1-NA,5.0,25.0,2.0,93.0,20.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,8.0,4.0,13.0,13.0,12.0,,20.0,13.0,,19.0,,11.0,14.0,11.0,10.0,0.0,3.0,,10.0,17.0,,7.0,,12.0,,,,,,,,,,,,,,,
5032,2025-03-04_Proof-of-concept-Olga/,1-NA,4.0,23.0,1.0,49.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,7.0,4.0,15.0,13.0,15.0,,20.0,,,20.0,,,20.0,12.0,15.0,0.0,3.0,,4.0,,,10.0,,,,,,,,,,,,,,,,,
5033,2025-03-04_Proof-of-concept-Olga/,1-NA,8.0,20.0,0.0,116.0,42.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,4.0,3.0,,13.0,12.0,,23.0,,,,13.0,11.0,13.0,12.0,,0.0,2.0,,6.0,,,,17.0,14.0,,,,,,,,,,,,,,,
5034,2025-03-04_Proof-of-concept-Olga/,1-NA,10.0,20.0,0.0,66.0,8.0,0.0,2.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,,13.0,12.0,,18.0,,30.0,13.0,11.0,15.0,14.0,13.0,,0.0,2.0,,2.0,,0.0,6.0,12.0,0.0,,,,,,,,,,,,,,,
6003,2025-03-04_Proof-of-concept-Olga/,1-NA,1.0,17.0,0.0,59.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,4.0,,13.0,14.0,,,,,13.0,,19.0,20.0,8.0,,0.0,2.0,,,,,17.0,,2.0,,,,,,,,,,,,,,,
6004,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,24.0,1.0,63.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,4.0,6.0,4.0,16.0,13.0,15.0,15.0,,15.0,,13.0,,11.0,19.0,16.0,14.0,0.0,12.0,8.0,,15.0,,15.0,,11.0,,,,,,,,,,,,,,,
6005,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,27.0,4.0,74.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,3.0,4.0,13.0,13.0,15.0,14.0,,14.0,,14.0,,13.0,13.0,6.0,3.0,0.0,12.0,0.0,,12.0,,0.0,,11.0,,,,,,,,,,,,,,,
6006,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,12.0,2.0,52.0,23.0,0.0,2.0,0.0,1.0,6.0,1.0,1.0,6.0,4.0,18.0,13.0,12.0,,14.0,,11.0,12.0,10.0,19.0,19.0,12.0,11.0,1.0,2.0,,6.0,,19.0,9.0,20.0,11.0,,,,,,,,,,,,,,,
6007,2025-03-04_Proof-of-concept-Olga/,1-NA,2.0,22.0,0.0,58.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,10.0,3.0,,13.0,14.0,16.0,,,,24.0,,13.0,14.0,5.0,,0.0,11.0,3.0,,,,6.0,,3.0,,,,,,,,,,,,,,,
6008,2025-03-04_Proof-of-concept-Olga/,1-NA,9.0,12.0,6.0,58.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,3.0,17.0,13.0,16.0,,,,,20.0,11.0,22.0,12.0,13.0,0.0,0.0,1.0,,,,,10.0,19.0,5.0,,,,,,,,,,,,,,,
6009,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,14.0,0.0,94.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,,12.0,12.0,,15.0,,26.0,12.0,,11.0,22.0,18.0,,4.0,18.0,,8.0,,4.0,18.0,,11.0,,,,,,,,,,,,,,,
6010,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,15.0,0.0,64.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,7.0,3.0,,13.0,14.0,,16.0,,,15.0,,14.0,18.0,14.0,,3.0,16.0,,13.0,,,13.0,,6.0,,,,,,,,,,,,,,,
6014,2025-03-04_Proof-of-concept-Olga/,1-NA,10.0,22.0,2.0,55.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,4.0,3.0,18.0,13.0,11.0,12.0,11.0,,11.0,16.0,15.0,11.0,18.0,12.0,9.0,2.0,7.0,18.0,19.0,,19.0,2.0,15.0,12.0,,,,,,,,,,,,,,,
6015,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,22.0,2.0,60.0,10.0,1.0,0.0,2.0,1.0,2.0,2.0,4.0,5.0,3.0,14.0,13.0,12.0,29.0,,28.0,28.0,13.0,12.0,12.0,0.0,5.0,0.0,0.0,0.0,1.0,,1.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
6016,2025-03-04_Proof-of-concept-Olga/,1-NA,6.0,13.0,1.0,72.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,6.0,5.0,3.0,26.0,13.0,15.0,18.0,17.0,25.0,,19.0,,16.0,15.0,15.0,4.0,4.0,13.0,5.0,13.0,5.0,,5.0,,5.0,,,,,,,,,,,,,,,
6017,2025-03-04_Proof-of-concept-Olga/,1-NA,3.0,20.0,0.0,84.0,2.0,3.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,3.0,,13.0,16.0,22.0,,,,14.0,,11.0,19.0,17.0,,0.0,9.0,0.0,,,,0.0,,3.0,,,,,,,,,,,,,,,
